,Date,Month,Year,> Australian Capital Territory ;  Unemployment rate ;  Persons ;,> Australian Capital Territory ;  Unemployment rate ;  > Males ;,> Australian Capital Territory ;  Unemployment rate ;  > Females ;
339,Oct-19,Oct,2019,2.8,2.7,3.0
340,Nov-19,Nov,2019,2.7,2.7,2.7
341,Dec-19,Dec,2019,2.8,2.6,3.0
342,Jan-20,Jan,2020,3.2,3.0,3.4
343,Feb-20,Feb,2020,3.3,2.4,4.1
344,Mar-20,Mar,2020,3.4,3.1,3.7
345,Apr-20,Apr,2020,4.1,3.9,4.2
346,May-20,May,2020,3.8,3.7,3.9
347,Jun-20,Jun,2020,4.1,4.7,3.6
348,Jul-20,Jul,2020,4.5,5.2,3.7
349,Aug-20,Aug,2020,4.3,4.6,3.9
350,Sep-20,Sep,2020,3.8,4.2,3.3
351,Oct-20,Oct,2020,3.7,3.5,3.9
352,Nov-20,Nov,2020,3.6,3.7,3.5
